"";"Ecoregion";"Year";"dimension";"n";"mean_value";"sd_value";"pval";"coeff"
"1";"Adriatic Sea";1994;"PC1";33;0,489441724552831;0,0881384260422088;0,181251683969311;0,00097230114734563
"2";"Adriatic Sea";1994;"PC2";33;-0,112462603623551;0,0793224338765221;0,315495818009284;-0,000312905632218587
"3";"Adriatic Sea";1994;"PC3";33;-0,0369509553649779;0,0363976356719359;0,000289065036972053;-0,000821451929577504
"4";"Adriatic Sea";1995;"PC1";36;0,485643963729251;0,132159942661807;0,181251683969311;0,00097230114734563
"5";"Adriatic Sea";1995;"PC2";36;-0,104453188630854;0,0656137579146207;0,315495818009284;-0,000312905632218587
"6";"Adriatic Sea";1995;"PC3";36;-0,0394988946799577;0,0427869485878978;0,000289065036972053;-0,000821451929577504
"7";"Adriatic Sea";1996;"PC1";49;0,517492768524125;0,0964586645436986;0,181251683969311;0,00097230114734563
"8";"Adriatic Sea";1996;"PC2";49;-0,112182794461885;0,0545785334800098;0,315495818009284;-0,000312905632218587
"9";"Adriatic Sea";1996;"PC3";49;-0,040783219789724;0,03603867278722;0,000289065036972053;-0,000821451929577504
"10";"Adriatic Sea";1997;"PC1";47;0,53177413384442;0,0859440565891574;0,181251683969311;0,00097230114734563
"11";"Adriatic Sea";1997;"PC2";47;-0,0872812435041531;0,0430396319467213;0,315495818009284;-0,000312905632218587
"12";"Adriatic Sea";1997;"PC3";47;-0,0524719344765369;0,0336468169511933;0,000289065036972053;-0,000821451929577504
"13";"Adriatic Sea";1998;"PC1";28;0,455194104883253;0,135587906640877;0,181251683969311;0,00097230114734563
"14";"Adriatic Sea";1998;"PC2";28;-0,095624395298183;0,0675718377200105;0,315495818009284;-0,000312905632218587
"15";"Adriatic Sea";1998;"PC3";28;-0,0439594682502024;0,0432220433432018;0,000289065036972053;-0,000821451929577504
"16";"Adriatic Sea";1999;"PC1";58;0,495591631551177;0,0853952929113971;0,181251683969311;0,00097230114734563
"17";"Adriatic Sea";1999;"PC2";58;-0,100632891182641;0,0486573088849767;0,315495818009284;-0,000312905632218587
