X;ID_unique;Dim.1;Dim.2;Dim.3
1;1;-1,130570865;1,495004143;0,721515848
2;2;-0,371832345;3,339480454;3,537988817
3;3;-0,613316201;1,637847084;1,72388383
4;4;1,837329394;2,126006154;1,693801851
5;5;0,192595103;1,366437816;1,06802901
6;6;-2,685446336;-0,211984998;2,368917824
7;7;-1,087871971;-0,96282726;2,138356595
8;8;-1,607977277;2,157181144;2,559535308
9;9;-2,847258294;-0,999024765;3,07550197
10;10;-1,670590039;-0,898497288;2,255117262
11;11;-0,866231241;1,922078511;2,250583031
12;12;0,000389926;1,845711821;2,10009433
13;13;-3,922052326;-0,953175607;3,043538707
14;14;1,197441655;0,71548567;0,34443819
15;15;0,694112596;0,733855153;1,779026487
16;16;-2,404588638;2,288486351;2,906598693
17;17;-1,984582533;-0,701799471;1,735782184
18;18;-0,81796741;-0,734211386;2,171660195
19;19;-1,543184991;-0,383520231;2,629347474
20;20;-3,038183062;-1,018455541;3,058410218
21;21;-0,67557677;0,566328411;1,676305071
22;22;-0,401459233;1,865279082;2,302791999
23;23;1,575297428;1,53370399;0,856979941
24;24;-2,481661408;-0,84121334;2,418111375
25;25;-0,380533044;0,08537271;2,002609236
26;26;-2,538388778;-0,262676635;1,30151556
27;27;-2,574796487;0,174049833;0,644971279
28;28;-2,904576625;-0,066678077;1,785949519
29;29;-1,709715399;0,363106919;0,521421891
30;30;-1,15402595;0,352876741;1,198981615
31;31;0,116550128;1,072318924;1,497288304
32;32;-1,61518328;0,080069359;1,184136116
33;33;0,235527855;0,926163072;1,443016504
34;34;-0,412385549;0,74541733;1,14577278
35;35;-1,925188599;-0,179246264;2,20628728
36;36;-0,276209434;0,47346808;1,365715249
37;37;0,53086318;0,6074179;1,881364902
38;38;-1,247563405;0,120014085;1,327118808
39;39;-1,860491901;-0,358905851;1,250547576
40;40;0,062314584;2,114464608;2,523126406
41;41;1,923930889;2,106320532;2,202843588
42;42;-1,235257159;0,103758788;0,876088985
43;43;-1,415938565;-0,100669433;0,721523833
44;44;-1,490406875;-0,548351241;2,121814251
45;45;2,324819268;1,455611259;1,648504795
46;46;-0,698986947;-0,284743089;1,853538694
47;47;-1,484458792;-0,154939699;1,003251471
48;48;0,407929073;0,413205564;1,374493794
49;49;-2,36215422;0,127356375;1,974171762
50;50;1,882084843;1,84011034;1,85707385
51;51;0,946796543;0,402622893;0,834826329
52;52;-1,703986764;0,207039862;1,339836094
53;53;2,849646524;0,878852448;1,070444784
54;54;2,656147451;1,546785729;2,320506893
55;55;1,578596854;0,096519574;1,214600693
56;56;-1,260565526;0,050997603;0,470828713
57;57;-2,774732366;-1,12965742;1,80347124
58;58;-2,147180085;-1,273484299;1,713602637
59;59;-2,652905119;-1,158210173;5,410043317
60;60;3,244866099;-0,750637423;-0,819212716
61;61;-0,81713953;-0,702532632;2,205899474
62;62;2,551330391;1,7108151;1,859809362
63;63;-0,451535805;3,284123046;4,286816534
64;64;0,613472382;0,583097648;2,255955298
65;65;-1,981775344;-1,157871542;1,256357366
66;66;3,028045862;1,418263823;2,213568358
67;67;2,698082135;1,442260527;2,466854354
68;68;0,002551347;-0,328124569;1,630855908
69;69;-2,40424943;1,546864032;1,204491584
70;70;2,924839767;1,08707134;0,968563646
71;71;1,33770265;1,14593874;1,72915083
72;72;-3,799434011;2,907609701;2,257035809
73;73;2,78651486;1,275177908;1,91531681
74;74;0,277368007;1,152455836;0,964947963
75;75;-1,054320454;-0,972924377;2,913485758
76;76;-1,310085891;0,355819117;1,987297287
77;77;-2,793360658;0,030708562;2,773217756
78;78;0,732258316;1,330492627;1,405956991
79;79;0,791692057;1,34223087;1,450983854
80;80;2,403545837;1,26052682;1,459949666
81;81;1,817236318;1,897339437;0,257740865
82;82;-1,182303326;0,675114035;-0,017953142
83;83;2,829545786;1,256274836;1,693404048
84;84;3,197966594;1,255763786;-1,732285688
85;85;-0,410683307;1,85605054;0,70163439
86;86;2,055735047;2,494168355;4,489876688
87;87;3,692007181;2,626833818;5,089392164
88;88;3,696842343;2,520588153;3,216943229
89;89;3,326832159;3,159019969;3,962371334
90;90;1,797096628;0,567031269;-1,135431855
91;91;-1,518672629;0,882517928;1,36513273
92;92;0,516980716;0,719785583;-0,302530369
93;93;2,962003627;2,752934476;0,573814938
94;94;1,993619648;1,923757933;0,396401342
95;95;-1,408158119;0,726631181;-0,169975339
96;96;-2,514970553;0,648280524;-0,189813233
97;97;-1,26679697;0,558999551;0,265881744
98;98;1,386686264;1,642370364;0,722856526
99;99;0,027696201;0,536585045;0,685994466
100;100;0,718265402;1,588640813;2,21403865
101;101;0,474046008;0,773167988;2,095686546
102;102;0,880444868;2,219354531;3,046319055
103;103;-1,71143016;-0,811087459;2,812221991
104;104;2,158814503;2,676494534;2,257967276
105;105;-0,871820381;-1,3060441;2,717603502
106;106;0,401426713;-0,280597509;3,817019414
107;107;-4,217332815;-1,48287801;3,260044014
108;108;1,639738067;0,964225766;0,183797484
109;109;1,075131857;1,916480723;2,31042125
110;110;-2,954700674;-0,827757732;2,727095001
111;111;1,805972784;0,466738872;0,544154715
112;112;-3,165993665;-0,341905421;4,146853961
113;113;1,151641807;1,444884686;0,317765652
114;114;-1,640371981;-0,834932992;1,81741136
115;115;1,075961673;1,632017598;0,511490986
116;116;1,757969492;2,035398893;2,476609862
117;117;-2,64960616;-0,374210486;3,424021381
