X;ID_unique;Dim.1;Dim.2;Dim.3
1;1;0,565633733;-0,102507978;-0,038638565
2;2;0,459038242;-0,134744232;-0,055086127
3;3;0,491960567;-0,141412849;-0,073387599
4;4;0,502016073;-0,154806327;-0,068409218
5;5;0,584755313;-0,068183594;-0,023070979
6;6;0,580667587;-0,036938894;-0,049912224
7;7;0,506799404;-0,142405984;-0,090180478
8;8;0,497246551;-0,150807515;-0,065918851
9;9;0,542906864;-0,089130464;-0,049016019
10;10;0,583237588;-0,06887821;-0,058812693
11;11;0,443516413;-0,150624201;-0,066025824
12;12;0,518343696;-0,1521698;-0,069199945
13;13;0,554951821;-0,111541476;-0,087583347
14;14;0,582353684;-0,107679475;-0,041625208
15;15;0,640218776;-0,045399623;-0,023760158
16;16;0,45399273;-0,151711332;-0,066073516
17;17;0,606527945;-0,093841806;-0,087568412
18;18;0,600203065;-0,096073355;-0,080144328
19;19;0,60958728;-0,112083205;-0,088938199
20;20;0,549197494;-0,095757166;-0,075284592
21;21;0,661360838;-0,055635237;-0,052281531
22;22;0,433501277;-0,170525758;-0,079285055
23;23;0,639481095;-0,062030458;-0,043419859
24;24;0,575394489;-0,121762693;-0,083038195
25;25;0,652833005;-0,096925866;-0,077343071
26;26;0,561035517;-0,098054093;-0,083814113
27;27;0,597307516;-0,089485052;-0,086676425
28;28;0,56818536;-0,098054543;-0,073603518
29;29;0,617671247;-0,049109699;-0,07369772
30;30;0,618550627;-0,058813208;-0,077601453
31;31;0,616318085;-0,070094373;-0,0740383
32;32;0,600168467;-0,082228041;-0,076208183
33;33;0,589808194;-0,097265556;-0,058222266
34;34;0,559593587;-0,096753874;-0,050496789
35;35;0,597499624;-0,109726456;-0,094146275
36;36;0,594904454;-0,090566597;-0,078045277
37;37;0,630280067;-0,081610877;-0,042809897
38;38;0,572995608;-0,0838845;-0,074330409
39;39;0,640550005;-0,075359198;-0,05688503
40;40;0,406991051;-0,154371427;-0,069029835
41;41;0,607307554;-0,062851891;-0,017565731
42;42;0,623573442;-0,142849076;-0,028822643
43;43;0,541042222;-0,212563912;-0,000324946
44;44;0,588889253;-0,135653102;-0,074410037
45;45;0,574033932;-0,13335376;-0,058780479
46;46;0,629652462;-0,110392413;-0,080641388
47;47;0,611959584;-0,157595577;-0,035816271
48;48;0,677907521;-0,086202386;-0,057399648
49;49;0,487835617;-0,141993357;-0,094939047
50;50;0,568055528;-0,129074596;-0,053806774
51;51;0,524682406;-0,144201671;-0,063336414
52;52;0,628096133;-0,079164324;-0,071647514
53;53;0,519824518;-0,150806515;-0,066133523
54;54;0,536131931;-0,155650161;-0,070410329
55;55;0,542252781;-0,080451578;-0,038735239
56;56;0,5324217;-0,132233042;-0,06897019
57;57;0,533938109;-0,143317384;-0,079007167
58;58;0,521895004;-0,155651467;-0,083980495
59;59;0,344028261;-0,138365004;-0,062630594
60;60;0,54469437;-0,06890189;-0,020114689
61;61;0,544626901;-0,130160659;-0,086410394
62;62;0,574515498;-0,085812667;-0,034277323
63;63;0,500315806;-0,091685942;-0,034531091
64;64;0,598965605;-0,107309895;-0,078187889
65;65;0,550487355;-0,137896908;-0,087266412
66;66;0,536037076;-0,129297242;-0,057737183
67;67;0,466908877;-0,101462582;-0,0398254
68;68;0,399419122;-0,146906796;-0,080619807
69;69;0,564544984;-0,040704693;-0,035731619
70;70;0,606359593;-0,079545568;-0,057245343
71;71;0,599365073;-0,110733736;-0,06028194
72;72;0,389999488;-0,12161153;-0,070406972
73;73;0,547635151;-0,131713938;-0,055379661
74;74;0,589117185;-0,071068778;-0,022463759
75;75;0,470286735;-0,176080331;-0,09726696
76;76;0,482635407;-0,062336716;-0,080111962
77;77;0,470511978;-0,056912119;-0,074769395
78;78;0,625016549;-0,064372608;-0,044531261
79;79;0,487119623;-0,146223078;-0,065337612
80;80;0,560963047;-0,109610494;-0,041880715
81;81;0,548792388;-0,047784245;-0,03912807
82;82;0,595001548;-0,095646274;-0,058836494
83;83;0,562451249;-0,105060438;-0,043402703
84;84;0,576886688;-0,025265859;-0,021630303
85;85;0,417736659;-0,152592101;-0,068571201
86;86;0,42688956;-0,153386389;-0,06805937
87;87;0,408908118;-0,151684445;-0,066169834
88;88;0,51858694;-0,137783548;-0,058236059
89;89;0,440102619;-0,162234132;-0,072773418
90;90;0,530431879;-0,08179313;-0,028201748
91;91;0,581735358;-0,054077939;-0,053308226
92;92;0,596336696;-0,051094265;-0,045099641
93;93;0,576200649;-0,015301152;-0,022544434
94;94;0,55411571;-0,085800802;-0,042573542
95;95;0,471775916;-0,110851096;-0,089952183
96;96;0,559761979;-0,037560208;-0,044259202
97;97;0,60421128;-0,088686909;-0,066932657
98;98;0,637452902;-0,078319984;-0,029115183
99;99;0,534188227;-0,113420541;-0,063192255
100;100;0,509154824;-0,145827481;-0,064420049
101;101;0,531815033;-0,081591831;-0,03718679
102;102;0,439011741;-0,167704165;-0,078004494
103;103;0,456585943;-0,125407129;-0,064060697
104;104;0,4780708;-0,065719087;-0,027324189
105;105;0,375264365;-0,151355986;-0,076060672
106;106;0,569918102;-0,050733397;-0,01873926
107;107;0,41316856;-0,159179151;-0,08289015
108;108;0,603845647;-0,079976723;-0,030677901
109;109;0,498115109;-0,175173797;-0,082005504
110;110;0,516761216;-0,149402283;-0,085570815
111;111;0,562918476;-0,064204284;-0,050875854
112;112;0,465173713;-0,129239211;-0,069202606
113;113;0,642300854;-0,079675882;-0,028322307
114;114;0,526085095;-0,133829116;-0,075355378
115;115;0,647344405;-0,054774782;-0,015172313
116;116;0,576690518;-0,124364125;-0,051638493
117;117;0,40461816;-0,151514337;-0,082230409
118;118;0,41161093;-0,153669478;-0,085178048
119;119;0,546956132;-0,099443479;-0,053054475
120;120;0,475266341;-0,11482899;-0,092828694
121;121;0,407532952;-0,155272135;-0,083934791
122;122;0,565730754;-0,122051392;-0,084668154
123;123;0,569327404;-0,094285573;-0,033535125
124;124;0,508855689;-0,151405841;-0,06801219
125;125;0,55747626;-0,084466209;-0,045475528
126;126;0,623590311;-0,070096098;-0,023924198
127;127;0,5252948;-0,150495478;-0,066089799
128;128;0,572072609;-0,069247238;-0,045842264
129;129;0,593416437;-0,043408656;-0,052807377
130;130;0,58158437;-0,049879653;-0,050391558
131;131;0,564391851;-0,131440086;-0,05837397
132;132;0,424379734;-0,130107045;-0,077455417
133;133;0,500599142;-0,155789553;-0,024776753
134;134;0,43438085;-0,160296176;-0,072235567
135;135;0,471114652;-0,160745771;-0,072701951
136;136;0,494529862;-0,125403233;-0,095956724
137;137;0,340956405;-0,142362728;-0,062166157
138;138;0,551627906;-0,071077258;-0,019377157
139;139;0,487093458;-0,132627264;-0,066416282
140;140;0,55691489;-0,053011778;-0,049277817
141;141;0,62856538;-0,005076365;-0,012798274
142;142;0,604380658;-0,064175509;-0,064853333
143;143;0,592485739;-0,107223611;-0,076435367
144;144;0,487309516;-0,208298919;0,024119693
145;145;0,497287976;-0,230387261;-0,023051428
146;146;0,567049811;-0,097334424;-0,069150735
147;147;0,58170187;-0,106432711;-0,076194681
148;148;0,484975874;-0,199435834;0,017754504
149;149;0,404845951;-0,200192853;0,023565938
150;150;0,460458363;-0,141782792;-0,031195232
151;151;0,535777407;-0,109407294;-0,086001237
152;152;0,374653009;-0,149386819;0,01715209
153;153;0,414314034;-0,033569166;-0,071242929
154;154;0,46520216;-0,049918631;-0,077238758
155;155;0,413066975;-0,088682655;-0,027011109
156;156;0,422661142;-0,120835063;-0,030817644
157;157;0,441380281;-0,254988201;0,032936359
158;158;0,420937751;-0,194714357;7,09E-05
159;159;0,455262486;-0,246677156;0,02915754
160;160;0,499214738;-0,210251991;-0,000547584
161;161;0,555386062;-0,061574164;-0,055432628
162;162;0,320404966;0,064008157;-0,02924855
163;163;0,497099929;0,020438983;-0,052847126
164;164;0,472659187;0,012255223;-0,049984934
165;165;0,59502234;-0,052046915;-0,059944728
166;166;0,533838226;-0,135392093;-0,058297395
167;167;0,38300861;-0,148147394;-0,080294118
168;168;0,676107064;-0,049394886;-0,045211359
169;169;0,582653456;-0,057022627;-0,057472476
170;170;0,564536315;-0,101929738;-0,048057719
171;171;0,344220134;-0,13363829;-0,05924919
172;172;0,461328972;-0,138218015;-0,090458662
173;173;0,592109963;-0,085826887;-0,028391031
174;174;0,543495883;-0,101958904;-0,074361162
175;175;0,628739382;-0,009761226;0,015950599
176;176;0,471637132;-0,10166371;-0,035466598
177;177;0,544969042;-0,09550506;-0,035266336
178;178;0,589247439;-0,038695993;-0,001276931
179;179;0,573888916;-0,068167731;-0,05726219
180;180;0,482344208;-0,102255526;-0,035718199
181;181;0,4729716;-0,149667182;-0,066589035
182;182;0,59414389;0,009899028;-0,003520071
183;183;0,520556782;-0,166609341;-0,009896591
184;184;0,485402921;-0,20221796;-0,000930692
185;185;0,422888911;-0,147819017;-0,065900543
186;186;0,580092933;-0,108859597;-0,083490324
187;187;0,544455093;-0,070619931;-0,021410036
188;188;0,595907215;-0,035497513;0,001093974
189;189;0,564119151;-0,074313924;-0,024495779
190;190;0,505811147;-0,104357918;-0,052610583
191;191;0,369298354;-0,145692645;-0,068949389
192;192;0,604371691;-0,025593634;-0,017303066
193;193;0,626164694;-0,07011006;-0,06265529
